# Country|Year|IPs|ASNs|Cumulative IPs|Cumulative ASNs|GDP 
LI|1973|0|0|0|0|165928854.016146
LI|1972|0|0|0|0|124940284.905398
LI|1971|0|0|0|0|104889797.836543
LI|1970|0|0|0|0|90099360.773871
LI|2006|6912|0|68896|5|3988775843.87205
LI|2009|768|1|70496|9|4826167676.3641
LI|1999|8192|0|19968|0|2664105901.18863
LI|1998|0|0|0|0|2479698578.66241
LI|2012|3872|1|82880|14|0
LI|1995|4096|0|11776|0|2428524749.69396
LI|1994|0|0|7680|0|1948128895.93238
LI|1997|0|0|0|0|2298390584.38482
LI|1996|0|0|11776|0|2504013003.9401
LI|1991|0|0|0|0|1484160640.17108
LI|1990|0|0|0|0|1421508901.19317
LI|1993|7680|0|7680|0|1673085622.79346
LI|1992|0|0|0|0|1631176617.19198
IL|2005|343936|21|4293952|124|133959001782.531
IL|2004|847520|11|3950016|103|126571173583.222
IL|1968|0|0|0|0|3959154191.74836
IL|1969|0|0|0|0|4568013077.69884
IL|1964|0|0|0|0|3405458501.95569
IL|1965|0|0|0|0|3663345598.02916
IL|1966|0|0|0|0|3980013324.88336
IL|1967|0|0|0|0|3921085397.89797
IL|1961|0|0|0|0|3486954461.02714
IL|1962|0|0|0|0|2596553912.33168
IL|1963|0|0|0|0|2992170981.49163
IL|2006|411136|10|4705088|134|145479599622.963
IL|2011|526944|16|7326061|239|258216880939.072
IL|2010|687936|15|6799117|223|231674511901.578
IL|2012|204279|17|7530340|256|0
IL|1982|0|0|0|0|24572712048.9694
IL|1983|0|0|0|0|27435501836.7464
IL|1980|0|0|0|0|21780968646.1188
IL|1981|0|0|0|0|23196333205.4932
IL|1986|0|0|0|0|29701444276.4431
IL|1987|0|0|0|0|35476344266.2051
IL|1984|983040|0|983040|0|26042767126.6861
IL|1985|0|0|983040|0|24122660958.9886
IL|1988|0|0|0|0|43892480101.5341
IL|1989|0|0|0|0|44599772801.9003
IL|1995|8192|3|1681664|5|95984455767.1911
IL|1994|8448|1|1673472|2|74669718186.6171
IL|2007|550192|19|5255280|153|167111803510.138
IL|2000|225024|15|2415616|47|124895151203.002
IL|2001|115712|22|2531328|69|122940533086.05
IL|1979|0|0|0|0|17511335262.5036
IL|1978|0|0|0|0|13618844018.5392
IL|1977|0|0|0|0|13776267565.5439
IL|1976|0|0|0|0|12475947718.1135
IL|1975|0|0|0|0|12336986759.6702
IL|1974|0|0|0|0|12567588803.6609
IL|1973|0|0|0|0|9242160982.44742
IL|1972|0|0|0|0|7173788440.84276
IL|1971|0|0|0|0|5573108412.71613
IL|1970|0|0|0|0|5372301094.56913
IL|2008|305949|28|5561229|181|201661649944.259
IL|2009|549952|27|6111181|208|194866363197.111
IL|1999|328704|11|2190592|32|110794986859.074
IL|1998|49152|8|1861888|21|109819478434.778
IL|2002|287744|10|2819072|79|112974376292.794
IL|2003|283424|13|3102496|92|118673283414.945
IL|1997|81920|4|1812736|13|108472199694.882
IL|1996|49152|4|1730816|9|105100103996.128
IL|1991|197120|0|1311488|0|59170288069.8687
IL|1990|131328|0|1114368|0|52490325648.2309
IL|1993|352000|1|1665024|1|65925582472.9926
IL|1992|1536|0|1313024|0|65771216221.0222
LB|1992|0|0|0|0|5545921820.95553
LB|2005|28672|7|123904|17|21860696517.4129
LB|1988|0|0|0|0|3313539979.09333
LB|1989|0|0|0|0|2717998713.0456
LB|1995|8704|0|10240|0|11718795352.0579
LB|2003|9216|2|78848|7|20082918739.6352
LB|1999|0|2|45056|3|17391056436.8069
LB|1997|10240|0|28672|0|15751867489.4446
LB|1996|8192|0|18432|0|13690217120.5605
LB|1991|0|0|0|0|4451497337.41987
LB|2004|16384|3|95232|10|21789054726.3682
LB|1990|0|0|0|0|2838485397.88652
LB|2008|78592|5|307200|36|30079601990.0498
LB|2009|29136|3|336336|39|34650746268.6567
LB|2011|21408|4|464784|51|40094328358.209
LB|1998|16384|1|45056|1|17247179483.2157
LB|2012|23962|10|488746|61|42945273631.8408
LB|2002|0|1|69632|5|19152238805.9702
LB|1994|512|0|1536|0|9599127189.45126
LB|2000|16384|0|61440|3|17260364842.4544
LB|2001|8192|1|69632|4|17649751243.7811
LB|2006|65536|8|189440|25|22438474295.1907
LB|2007|39168|6|228608|31|25056716417.9104
LB|1993|1024|0|1024|0|7535259914.42769
LB|2010|107040|8|443376|47|37124378109.4527
LC|1982|0|0|0|0|143588880.427092
LC|1983|0|0|0|0|154503700.97507
LC|1980|0|0|0|0|133414812.458624
LC|1981|0|0|0|0|152244441.755711
LC|1986|0|0|0|0|225777773.790398
LC|1987|0|0|0|0|242385180.904509
LC|1984|0|0|0|0|197088885.408174
LC|1985|0|0|0|0|189166669.251789
LC|1988|0|0|0|0|273977784.791007
LC|1989|0|0|0|0|311511105.609627
